name,url,remote,adaptive,test_type,duration_minutes,job_levels,description
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,"['Knowledge & Skills', 'Simulations']",5.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics."
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,['Knowledge & Skills'],8.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics."
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,['Knowledge & Skills'],7.0,,
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,"['Biodata & Situational Judgement', 'Simulations']",20.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics."
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",30.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI."
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,['Knowledge & Skills'],9.0,"Entry-Level,","Multiple-choice test that measures vocabulary, grammar and reading comprehension skills."
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Docker container, data management, Docker performance and swarm."
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,Yes,No,['Knowledge & Skills'],12.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Dojo architecture, classes and libraries, styles, animation and Dojo queries."
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,Yes,No,['Simulations'],15.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Drupal setup, content management, user interface, module development and security."
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,Yes,No,['Simulations'],11.0,,DSI v1.1 Interpretation Report
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,Yes,No,['Knowledge & Skills'],13.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of statistical concepts, exploratory analysis and statistical testing required to analyze economic data."
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,Yes,No,['Knowledge & Skills'],13.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the conceptual knowledge of microeconomics, macroeconomics and international trade."
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,Yes,Yes,"['Knowledge & Skills', 'Simulations']",5.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the candidate’s knowledge and understanding on fundamentals of electrical engineering, instrumentation and control system and electronics."
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,Yes,No,['Knowledge & Skills'],8.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of basic electrical engineering, electrical machines, power systems, instrumentation, control systems and basic concepts of electronics."
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,Yes,No,['Knowledge & Skills'],7.0,,
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,Yes,No,"['Biodata & Situational Judgement', 'Simulations']",20.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the candidate’s knowledge and understanding on concepts like embedded systems and, analog and digital electronics."
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,Yes,No,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",30.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of semiconductors, two terminal and three terminal devices, analog electronics, digital electronics and basics of VLSI."
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,Yes,No,['Knowledge & Skills'],9.0,"Entry-Level,","Multiple-choice test that measures vocabulary, grammar and reading comprehension skills."
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development."
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success."
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,['Competencies'],,,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential."
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Front Line Manager, Supervisor,","Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks."
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,['Knowledge & Skills'],,,
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,['Knowledge & Skills'],8.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures."
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,['Knowledge & Skills'],15.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director."
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc."
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,['Knowledge & Skills'],9.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems."
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development."
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success."
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,['Competencies'],,,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential."
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Front Line Manager, Supervisor,","Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks."
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,['Knowledge & Skills'],,,
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,['Knowledge & Skills'],8.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures."
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,['Knowledge & Skills'],15.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director."
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc."
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,['Knowledge & Skills'],9.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems."
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development."
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success."
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,['Competencies'],,,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential."
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Front Line Manager, Supervisor,","Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks."
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,['Knowledge & Skills'],,,
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,['Knowledge & Skills'],8.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures."
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,['Knowledge & Skills'],15.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director."
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc."
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,['Knowledge & Skills'],9.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems."
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 1.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This version is used in regions where normed data for Verify Gen 1 and UCF 1 continue to provide the most relevant benchmarks, offering organizations proven insights for high-potential identification and talent development."
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"Part of SHL’s High Potential solution and developed from SHL’s extensive research into high-potential programs, the HIPO Assessment Report 2.0 helps organizations identify individuals with the strongest potential to succeed in senior and challenging roles. Using assessments such as the Motivation Questionnaire, OPQ, and Verify Cognitive Ability Tests, the report evaluates critical areas of aspiration, ability, and engagement. This report equips organizations with data-driven insights for identifying and developing future leaders, helping to ensure long-term organizational success."
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,['Competencies'],,,"This report draws insights from the Occupational Personality QuestionnaireTM (OPQ32). Used for individuals who are selected into a client’s HiPo program, it provides a detailed analysis of managerial and leadership potential."
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level, Front Line Manager, Supervisor,","Multi-choice test that measures the knowledge of housekeeping activities such as cleaning, laundry, room maintenance and routine checks."
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,['Knowledge & Skills'],,,
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of HTML5 and its application in creating a user interface.
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,['Knowledge & Skills'],8.0,"Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","Multi-choice test that measures the candidate on his/her knowledge and understanding of the basic concepts of Human Resources Management like planning, training and development, performance appraisal, compensation management, etc. It also evaluates the candidate’s understanding of organizational behavior in different organizational structures."
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,['Knowledge & Skills'],15.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge on the concepts of Data Warehouse fundamentals, DataStage fundamentals, DataStage stages and, DataStage Designer & Director."
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,['Knowledge & Skills'],13.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of the basic concepts of Sterling Order Management System installation, modeling, extensibility, inventory reservations, etc."
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,['Knowledge & Skills'],9.0,"Graduate, Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the conceptual knowledge of design, quality control, reliability, management and costing of manufacturing systems."
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,['Knowledge & Skills'],10.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of data warehousing, server architecture and administration, and real time implementation with Informatica."
HiPo Assessment Report 1.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-1-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that."
HiPo Assessment Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-assessment-report-2-0/,Yes,No,"['Competencies', 'Personality & Behavior']",,,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report."
HiPo Unlocking Potential Report 2.0,https://www.shl.com/solutions/products/product-catalog/view/hipo-unlocking-potential-report-2-0/,Yes,No,['Competencies'],,,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential. The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra."
Housekeeping (New),https://www.shl.com/solutions/products/product-catalog/view/housekeeping-new/,Yes,No,['Knowledge & Skills'],7.0,,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open questions and multiple choice questions are optional parts of the questionnaire. Only if those parts were added to the questionnaire will they show in the report. Open and multiple Choice questions are of the clients’ own design. The example report here does not include developments tips, but those can be added if requested (see performance and potential report for examples of that)."
HTML/CSS (New),https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,Yes,No,['Knowledge & Skills'],,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of automation testing using the QTP tool.
HTML5 (New),https://www.shl.com/solutions/products/product-catalog/view/html5-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns."
Human Resources (New),https://www.shl.com/solutions/products/product-catalog/view/human-resources-new/,Yes,No,['Knowledge & Skills'],8.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web services and plugins."
IBM DataStage (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-datastage-new/,Yes,No,['Knowledge & Skills'],15.0,"Entry-Level,","The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks."
IBM Sterling Order Management System (New),https://www.shl.com/solutions/products/product-catalog/view/ibm-sterling-order-management-system-new/,Yes,No,['Knowledge & Skills'],13.0,"Entry-Level,","The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks."
Industrial Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/industrial-engineering-new/,Yes,No,['Knowledge & Skills'],9.0,"Mid-Professional, Professional Individual Contributor,","The Microsoft Outlook 2013 (adaptive) test measures knowledge of Microsoft Outlook 2013. Designed for professionals, this test includes the following topics: Application Management, Contacts and Address Books, Mail Management, Messages and Message Organization, Notes, Printing, Schedules and Calendars, Security, and Tasks."
Informatica (Architecture) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-architecture-new/,Yes,No,['Knowledge & Skills'],10.0,"Entry-Level,","The Microsoft PowerPoint 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of Microsoft PowerPoint, and includes the following topics: Applying Transitions and Animations, Creating, Managing, and Saving Presentations, Formatting Presentation Content, Reviewing, Collaborating, and Delivering Presentations, and Working with Multimedia Elements, Images, and Illustrations."
Informatica (Developer) (New),https://www.shl.com/solutions/products/product-catalog/view/informatica-developer-new/,Yes,No,['Knowledge & Skills'],11.0,"Mid-Professional, Professional Individual Contributor,","The Microsoft SQL Server 2014 Programming test measures knowledge of Microsoft Structure Query Language (SQL) Server 2014 Programming. Designed for experienced database programmers, this test covers the following topics: Beyond Relational, Control Flow, Data Types and NULL, Database Design, Developer Tools, Modifying Data, Running Queries, and Writing Queries."
Microsoft Windows Server 2012 Administration,https://www.shl.com/solutions/products/product-catalog/view/microsoft-windows-server-2012-administration/,Yes,Yes,['Knowledge & Skills'],35.0,,"The layout of this report follows the standard MFS 360 report but this is based on the Enterprise Leadership competency model, not the UCF model. The report text has been updated as well to reflect that."
Microsoft Word 365 - Essentials (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-essentials-new/,Yes,No,"['Knowledge & Skills', 'Simulations']",25.0,,"This report follows the standard layout of the 360 report but incorporates the average scores for a group of participants. The report can be generated for all participants on a project, or a dedicated group can be created in MFS for a group that includes participants across multiple projects. The report does not include the open questions even when they were part of the questionnaire. Developments tips are not available in this report."
Microsoft Word 365 (New),https://www.shl.com/solutions/products/product-catalog/view/microsoft-word-365-new/,Yes,No,"['Simulations', 'Knowledge & Skills']",35.0,,"This report is more or less identical to the standard MFS report but with an additional section that looks at the performance versus the potential and plots the competencies on a four field grid to identify developed strengths, natural strengths, development need, or untapped potential. The report text has been updated to reflect the inclusion of the OPQ, and the potential is also shown in the competency summary part of the report. The OPQ scores that feed into this report will need to be uploaded into MFS using an upload sheet based on a score extract from SODA or TC. This particular example report also includes development tips which are an optional extra."
Mineral Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mineral-engineering-new/,Yes,No,['Knowledge & Skills'],12.0,,"This is the default MFS report. It is based on the UCF20 competency model. The report will only show those scales that were selected as part of the questionnaire setup. The importance rating, open questions and multiple choice questions are optional parts of the questionnaire. Only if those parts were added to the questionnaire will they show in the report. Open and multiple Choice questions are of the clients’ own design. The example report here does not include developments tips, but those can be added if requested (see performance and potential report for examples of that)."
Mining Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/mining-engineering-new/,Yes,No,['Knowledge & Skills'],16.0,"Mid-Professional, Professional Individual Contributor,",Multi-choice test that measures the knowledge of automation testing using the QTP tool.
Mobility (New),https://www.shl.com/solutions/products/product-catalog/view/mobility-new/,Yes,No,['Knowledge & Skills'],9.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Microservices architecture, SOA, and Microservices patterns."
Molecular Biology (New),https://www.shl.com/solutions/products/product-catalog/view/molecular-biology-new/,Yes,No,['Knowledge & Skills'],6.0,"Mid-Professional, Professional Individual Contributor,","Multi-choice test that measures the knowledge of Microsoft Dynamics installation, sales process, service management, administration, configuration, entity model, workflows, dialogs, solutions, CRM web services and plugins."
MongoDB (New),https://www.shl.com/solutions/products/product-catalog/view/mongodb-new/,Yes,No,['Knowledge & Skills'],7.0,"Entry-Level,","The Microsoft Excel 365 - Essentials simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks."
Motivation Questionnaire MQM5,https://www.shl.com/solutions/products/product-catalog/view/motivation-questionnaire-mqm5/,Yes,No,['Personality & Behavior'],25.0,"Entry-Level,","The Microsoft Excel 365 simulation evaluates ability to perform certain operations in a simulated environment of MS Excel, and includes the following topics: Applying Formulas and Functions, Creating and Analyzing Data, Formatting Cells, Data, and Content, Managing Workbooks and Worksheets, Presenting Data Visually, Printing and Views, and Sharing, Maintaining, and Securing Workbooks."
